gender,parental level of education,math score,reading score,writing score,final score
male,some high school,55,47,44,48.666666666666664
female,some college,53,58,57,56.0
male,master's degree,67,57,59,61.0
male,associate's degree,92,79,84,85.0
female,some college,53,66,73,64.0
male,associate's degree,81,71,73,75.0
male,high school,61,60,55,58.666666666666664
male,bachelor's degree,80,73,72,75.0
female,associate's degree,37,57,56,50.0
female,high school,81,84,82,82.33333333333333
female,associate's degree,59,73,72,68.0
male,some college,55,55,47,52.333333333333336
male,associate's degree,72,79,74,75.0
male,high school,69,75,71,71.66666666666667
male,some college,69,64,68,67.0
female,bachelor's degree,50,60,59,56.333333333333336
male,some college,87,84,86,85.66666666666667
male,some high school,71,69,68,69.33333333333333
male,some college,68,72,65,68.33333333333333
male,master's degree,79,77,75,77.0
female,some high school,77,90,85,84.0
male,associate's degree,58,55,53,55.333333333333336
female,associate's degree,84,95,92,90.33333333333333
male,some college,55,58,52,55.0
male,bachelor's degree,70,68,72,70.0
female,some college,52,59,65,58.666666666666664
male,some college,69,77,77,74.33333333333333
female,high school,53,72,64,63.0
female,some high school,48,58,54,53.333333333333336
male,some high school,78,81,86,81.66666666666667
female,high school,62,62,63,62.333333333333336
male,some college,60,63,59,60.666666666666664
female,high school,74,72,72,72.66666666666667
female,high school,58,75,77,70.0
male,high school,76,62,60,66.0
female,some high school,68,71,75,71.33333333333333
male,some college,58,60,57,58.333333333333336
male,high school,52,48,49,49.666666666666664
male,bachelor's degree,75,73,74,74.0
female,some high school,52,67,72,63.666666666666664
female,bachelor's degree,62,78,79,73.0
male,some college,66,65,60,63.666666666666664
female,some high school,49,58,55,54.0
female,high school,66,72,70,69.33333333333333
female,some college,35,44,43,40.666666666666664
female,some college,72,79,82,77.66666666666667
male,associate's degree,94,85,82,87.0
female,associate's degree,46,56,57,53.0
female,master's degree,77,90,84,83.66666666666667
female,high school,76,85,82,81.0
female,associate's degree,52,59,62,57.666666666666664
male,bachelor's degree,91,81,79,83.66666666666667
female,some high school,32,51,44,42.333333333333336
female,some high school,72,79,77,76.0
male,associate's degree,68,65,61,64.66666666666667
female,master's degree,52,65,61,59.333333333333336
female,high school,48,62,60,56.666666666666664
female,some college,60,66,70,65.33333333333333
male,high school,66,74,69,69.66666666666667
male,some high school,89,84,77,83.33333333333333
female,high school,42,52,51,48.333333333333336
female,associate's degree,57,68,73,66.0
male,high school,70,70,70,70.0
female,associate's degree,70,84,81,78.33333333333333
male,some college,69,60,54,61.0
female,associate's degree,52,55,57,54.666666666666664
male,some high school,67,73,68,69.33333333333333
male,some high school,76,80,73,76.33333333333333
female,associate's degree,87,94,95,92.0
female,some college,82,85,87,84.66666666666667
female,some college,73,76,78,75.66666666666667
male,some college,75,81,74,76.66666666666667
female,some college,64,74,75,71.0
female,high school,41,45,40,42.0
male,high school,90,75,69,78.0
male,bachelor's degree,59,54,51,54.666666666666664
male,some high school,51,31,36,39.333333333333336
male,high school,45,47,49,47.0
female,master's degree,54,64,67,61.666666666666664
male,some high school,87,84,76,82.33333333333333
female,high school,72,80,83,78.33333333333333
male,some high school,94,86,87,89.0
female,bachelor's degree,45,59,64,56.0
male,bachelor's degree,61,70,76,69.0
female,high school,60,72,68,66.66666666666667
female,some high school,77,91,88,85.33333333333333
female,some high school,85,90,92,89.0
female,bachelor's degree,78,90,93,87.0
male,some college,49,52,51,50.666666666666664
female,high school,71,87,82,80.0
female,some high school,48,58,52,52.666666666666664
male,high school,62,67,58,62.333333333333336
female,associate's degree,56,68,70,64.66666666666667
female,some high school,65,69,76,70.0
female,some high school,69,86,81,78.66666666666667
male,some high school,68,54,53,58.333333333333336
female,some college,61,60,57,59.333333333333336
female,bachelor's degree,74,86,89,83.0
male,bachelor's degree,64,60,58,60.666666666666664
female,high school,77,82,89,82.66666666666667
male,some college,58,50,45,51.0
female,high school,60,64,74,66.0
male,high school,73,64,57,64.66666666666667
female,high school,75,82,79,78.66666666666667
male,associate's degree,58,57,53,56.0
female,associate's degree,66,77,73,72.0
female,high school,39,52,46,45.666666666666664
male,some high school,64,58,51,57.666666666666664
male,some college,74,77,76,75.66666666666667
female,some high school,40,65,64,56.333333333333336
male,master's degree,90,85,84,86.33333333333333
male,master's degree,91,85,85,87.0
male,high school,64,54,50,56.0
female,high school,59,72,68,66.33333333333333
male,associate's degree,80,75,69,74.66666666666667
male,master's degree,71,67,67,68.33333333333333
female,high school,61,68,63,64.0
female,some college,87,85,93,88.33333333333333
male,some high school,82,67,61,70.0
male,some high school,62,64,55,60.333333333333336
female,bachelor's degree,97,97,96,96.66666666666667
male,some college,75,68,65,69.33333333333333
female,bachelor's degree,65,79,81,75.0
male,high school,52,49,46,49.0
male,associate's degree,87,73,72,77.33333333333333
female,associate's degree,53,62,53,56.0
female,master's degree,81,86,87,84.66666666666667
male,bachelor's degree,39,42,38,39.666666666666664
female,some college,71,71,80,74.0
male,associate's degree,97,93,91,93.66666666666667
male,some college,82,82,88,84.0
male,high school,59,53,52,54.666666666666664
male,associate's degree,61,42,41,48.0
male,associate's degree,78,74,72,74.66666666666667
male,associate's degree,49,51,51,50.333333333333336
male,high school,59,58,47,54.666666666666664
female,some college,70,72,76,72.66666666666667
male,associate's degree,82,84,78,81.33333333333333
male,associate's degree,90,90,82,87.33333333333333
female,bachelor's degree,43,62,61,55.333333333333336
male,some college,80,64,66,70.0
male,some college,81,82,84,82.33333333333333
male,some high school,57,61,54,57.333333333333336
female,some high school,59,72,80,70.33333333333333
female,associate's degree,64,76,74,71.33333333333333
male,bachelor's degree,63,64,66,64.33333333333333
female,bachelor's degree,71,70,70,70.33333333333333
female,high school,64,73,71,69.33333333333333
male,bachelor's degree,55,46,44,48.333333333333336
female,associate's degree,51,51,54,52.0
female,associate's degree,62,76,80,72.66666666666667
female,associate's degree,93,100,95,96.0
male,high school,54,72,59,61.666666666666664
female,some college,69,65,74,69.33333333333333
male,high school,44,51,48,47.666666666666664
female,some college,86,85,91,87.33333333333333
female,associate's degree,85,92,85,87.33333333333333
female,master's degree,50,67,73,63.333333333333336
male,some high school,88,74,75,79.0
female,associate's degree,59,62,69,63.333333333333336
female,some high school,32,34,38,34.666666666666664
male,high school,36,29,27,30.666666666666668
female,some high school,63,78,79,73.33333333333333
male,associate's degree,67,54,63,61.333333333333336
female,some high school,65,78,82,75.0
male,master's degree,85,84,89,86.0
female,master's degree,73,78,74,75.0
female,high school,34,48,41,41.0
female,bachelor's degree,93,100,100,97.66666666666667
female,some high school,67,84,84,78.33333333333333
male,some college,88,77,77,80.66666666666667
male,high school,57,48,51,52.0
female,some college,79,84,91,84.66666666666667
female,bachelor's degree,67,75,72,71.33333333333333
male,bachelor's degree,70,64,70,68.0
male,bachelor's degree,50,42,48,46.666666666666664
female,some college,69,84,82,78.33333333333333
female,bachelor's degree,52,61,66,59.666666666666664
female,bachelor's degree,47,62,66,58.333333333333336
female,associate's degree,46,61,55,54.0
female,some college,68,70,66,68.0
male,bachelor's degree,100,100,100,100.0
female,high school,44,61,52,52.333333333333336
female,associate's degree,57,77,80,71.33333333333333
male,some college,91,96,91,92.66666666666667
male,high school,69,70,67,68.66666666666667
female,high school,35,53,46,44.666666666666664
male,high school,72,66,66,68.0
female,associate's degree,54,65,65,61.333333333333336
male,high school,74,70,69,71.0
male,some high school,74,64,60,66.0
male,associate's degree,64,56,52,57.333333333333336
female,high school,65,61,71,65.66666666666667
male,associate's degree,46,43,44,44.333333333333336
female,some high school,48,56,51,51.666666666666664
male,some college,67,74,70,70.33333333333333
male,some college,62,57,62,60.333333333333336
male,associate's degree,61,71,73,68.33333333333333
male,bachelor's degree,70,75,74,73.0
male,associate's degree,98,87,90,91.66666666666667
male,some college,70,63,58,63.666666666666664
male,associate's degree,67,57,53,59.0
female,high school,57,58,57,57.333333333333336
male,some college,85,81,85,83.66666666666667
male,some high school,77,68,69,71.33333333333333
male,master's degree,72,66,72,70.0
female,master's degree,78,91,96,88.33333333333333
male,high school,81,66,64,70.33333333333333
male,some high school,61,62,61,61.333333333333336
female,high school,58,68,61,62.333333333333336
female,associate's degree,54,61,58,57.666666666666664
male,high school,82,82,80,81.33333333333333
female,some college,49,58,60,55.666666666666664
male,some high school,49,50,52,50.333333333333336
female,high school,57,75,73,68.33333333333333
male,high school,94,73,71,79.33333333333333
female,some college,75,77,83,78.33333333333333
female,some high school,74,74,72,73.33333333333333
male,high school,58,52,54,54.666666666666664
female,some college,62,69,69,66.66666666666667
male,associate's degree,72,57,62,63.666666666666664
male,some college,84,87,81,84.0
female,master's degree,92,100,100,97.33333333333333
female,high school,45,63,59,55.666666666666664
male,high school,75,81,71,75.66666666666667
female,some college,56,58,64,59.333333333333336
female,some high school,48,54,53,51.666666666666664
female,associate's degree,100,100,100,100.0
female,some high school,65,76,75,72.0
male,some college,72,57,58,62.333333333333336
female,some college,62,70,72,68.0
male,some high school,66,68,64,66.0
male,some college,63,63,60,62.0
female,associate's degree,68,76,67,70.33333333333333
female,bachelor's degree,75,84,80,79.66666666666667
female,bachelor's degree,89,100,100,96.33333333333333
male,some high school,78,72,69,73.0
female,high school,53,50,60,54.333333333333336
female,some college,49,65,61,58.333333333333336
female,some college,54,63,67,61.333333333333336
female,some college,64,82,77,74.33333333333333
male,some college,60,62,60,60.666666666666664
male,associate's degree,62,65,58,61.666666666666664
male,high school,55,41,48,48.0
female,associate's degree,91,95,94,93.33333333333333
male,some high school,81,78,78,79.0
male,some high school,79,85,86,83.33333333333333
female,some college,78,87,91,85.33333333333333
female,some high school,74,75,82,77.0
male,high school,57,51,54,54.0
female,associate's degree,40,59,51,50.0
male,some high school,81,75,76,77.33333333333333
female,some high school,44,45,45,44.666666666666664
female,some college,67,86,83,78.66666666666667
male,high school,86,81,75,80.66666666666667
female,some high school,65,82,78,75.0
female,associate's degree,55,76,76,69.0
female,bachelor's degree,62,72,74,69.33333333333333
male,high school,63,63,62,62.666666666666664
female,master's degree,88,99,95,94.0
male,high school,62,55,55,57.333333333333336
female,high school,59,71,65,65.0
female,some college,68,78,77,74.33333333333333
female,some college,77,86,86,83.0
